Year,Position,Finish Time,Name,Event Distance (km),Elevation (m),Club,Country,Gender,Catergory,Average Speed (km/h)
2024,1,19:54:23,BOUILLARD Vincent ,176.4,9915,,FRA,M,M23,8.86
2024,2,20:22:45,CHASSAGNE Baptiste ,176.4,9915,TEAM ON,FRA,M,M23,8.66
2024,3,20:26:22,LOPEZ Joaquin,176.4,9915,WAA Team,ECU,M,M23,8.63
2024,4,20:31:54,NAMBERGER Hannes ,176.4,9915,Dynafit,GER,M,M35,8.59
2024,5,20:57:48,POMMERET Ludovic,176.4,9915,Hoka ONE One,FRA,M,M45,8.41
2024,6,21:12:12,JOYEUX-BOUILLON Arthur ,176.4,9915,Compressport,FRA,M,M23,8.32
2024,7,21:33:16,LIND Cody,176.4,9915,GOAT Adventures,USA,M,M23,8.18
2024,8,21:41:01,ANGUITA Manuel ,176.4,9915,,ESP,M,M23,8.14
2024,9,21:45:16,BONNECARR»RE Gautier ,176.4,9915,,FRA,M,M23,8.11
2024,10,21:45:18,NOEL Yannick,176.4,9915,Normandietrail,FRA,M,M35,8.11
2024,11,21:52:09,WADE Josh ,176.4,9915,,GBR,M,M23,8.07
2024,12,22:07:48,BARONIAN Thibaut ,176.4,9915,,FRA,M,M35,7.97
2024,13,22:09:31,SCHIDE Katie ,176.4,9915,,USA,F,W23,7.96
2024,14,22:33:07,FERRARI Aubin ,176.4,9915,Compressport,FRA,M,M23,7.82
2024,15,22:47:34,LESNIAK Kamil ,176.4,9915,Hoka Garmin Team,POL,M,M23,7.74
2024,16,22:48:37,CROFT Ruth ,176.4,9915,,NZL,F,W35,7.73
2024,17,22:58:01,MONCANY Jonathan ,176.4,9915,Altra Running,FRA,M,M23,7.68
2024,18,23:11:15,HOGAN Marianne ,176.4,9915,Salomon,CAN,F,W23,7.61
2024,19,23:11:39,SIMPANEN Juuso ,176.4,9915,,FIN,M,M23,7.61
2024,20,23:12:54,DENEFFE Guillaume ,176.4,9915,Trakks Belgium,BEL,M,M40,7.60
2023,1,19:37:43,WALMSLEY Jim,170.0,10000,Hoka,USA,M,M23,8.66
2023,2,19:58:58,MILLER Zach,170.0,10000,the North Face,USA,M,M35,8.51
2023,3,20:10:52,GRANGIER Germain ,170.0,10000,ON,FRA,M,M23,8.42
2023,4,20:54:25,BLANCHARD Mathieu ,170.0,10000,Salomon,FRA,M,M35,8.13
2023,5,21:00:54,POMMERET Ludovic,170.0,10000,Hoka ONE One,FRA,M,M45,8.09
2023,6,21:10:38,GARRIVIER Thibaut ,170.0,10000,Hoka,FRA,M,M23,8.03
2023,7,21:19:21,Tyler GREEN,170.0,10000,,USA,M,M35,7.97
2023,8,21:20:46,NAMBERGER Hannes ,170.0,10000,Dynafit,GER,M,M23,7.96
2023,9,21:31:22,JOYEUX-BOUILLON Arthur ,170.0,10000,Compressport,FRA,M,M23,7.90
2023,10,21:38:11,CHASSAGNE Baptiste ,170.0,10000,,FRA,M,M23,7.86
2023,11,21:47:12,LOPEZ Joaquin,170.0,10000,WAA Team,ECU,M,M23,7.80
2023,12,21:55:59,JONES Daniel ,170.0,10000,,NZL,M,M23,7.75
2023,13,21:59:01,RUEDA Santos Gabriel ,170.0,10000,,ARG,M,M23,7.73
2023,14,22:07:10,DUO Ji ,170.0,10000,,CHN,M,M23,7.69
2023,15,22:13:58,HAWKER Scott,170.0,10000,Team Vibram,NZL,M,M35,7.65
2023,16,22:25:20,JOLY Tom ,170.0,10000,,GBR,M,M23,7.58
2023,17,22:32:59,FARVARD Rod ,170.0,10000,,USA,M,M23,7.54
2023,18,22:38:02,BUTACI Raul Octaviu ,170.0,10000,,ROM,M,M35,7.51
2023,19,22:41:09,YUN Yanqiao ,170.0,10000,,CHN,M,M35,7.49
2023,20,23:01:40,PEREYRA Sergio Gustavo ,170.0,10000,,ARG,M,M23,7.38
2022,1,19:49:30,JORNET BURGADA Kilian,170.0,10000,Nnormal,ESP,M,M23,8.6
2022,2,19:54:50,BLANCHARD Mathieu ,170.0,10000,Salomon,FRA,M,M23,8.5
2022,3,20:34:35,EVANS Tom ,170.0,10000,Adidas Terrex / RED Bull,GBR,M,M23,8.3
2022,4,21:12:12,WALMSLEY Jim,170.0,10000,Hoka,USA,M,M23,8.0
2022,5,21:27:50,MILLER Zach,170.0,10000,the North Face,USA,M,M23,7.9
2022,6,21:28:14,MARMISSOLLE Benat ,170.0,10000,Team Asics,FRA,M,M40,7.9
2022,7,21:35:45,JOYEUX-BOUILLON Arthur ,170.0,10000,Compressport,FRA,M,M23,7.9
2022,8,21:46:16,RUSSI Jonas ,170.0,10000,Hoka / Leki / Julbo,SUI,M,M35,7.8
2022,9,22:07:58,HAJNAL Robert ,170.0,10000,Altra - Uglow,ROU,M,M23,7.7
2022,10,22:09:19,GARRIVIER Thibaut ,170.0,10000,Hoka,FRA,M,M23,7.7
2022,11,22:24:28,SYMONDS Andy ,170.0,10000,Scott Running,GBR,M,M40,7.6
2022,12,22:26:33,MARQUET Thibault ,170.0,10000,Cmab,FRA,M,M23,7.6
2022,13,22:27:39,BERSON Alban ,170.0,10000,Altra/Brubeck/Scba,FRA,M,M40,7.6
2022,14,22:36:10,ELAM Jimmy ,170.0,10000,Altra,USA,M,M23,7.5
2022,15,22:40:05,DENEFFE Guillaume ,170.0,10000,Trakks Belgium,BEL,M,M35,7.5
2022,16,22:52:00,MOGAVERO Jeff ,170.0,10000,Hoka,USA,M,M23,7.4
2022,17,22:54:25,BARRERA Jhon ,170.0,10000,*Villavicencio,COL,M,M35,7.4
2022,18,22:55:30,BOUCHEIX Alexandre ,170.0,10000,Casquette Verte,FRA,M,M23,7.4
